11, 26, 44, 87, 2, 0.5, 0.325674, -1
16, 32, 35, 52, 2, 0.5, 0.332149, -1
8, 53, 16, 87, 3, 0.5, 0.333926, -1
19, 46, 24, 78, 3, 0.5, 0.340483, -1
54, 12, 44, 30, 2, 0.5, 0.474926, -1
2, 19, 67, 93, 3, 0.5, 0.477105, -1
8, 56, 26, 81, 0, 0.5, 0.482946, -1
70, 45, 48, 12, 2, 0.5, 0.494024, -1
23, 36, 32, 59, 3, 0.5, 0.502253, 1
7, 9, 12, 43, 3, 0.5, 0.510574, 1
3, 6, 86, 65, 1, 0.5, 0.512097, 1
73, 21, 70, 24, 0, 0.5, 0.512097, -1
66, 69, 26, 15, 0, 0.5, 0.512859, 1
66, 69, 26, 15, 0, 0.5, 0.507538, -1
5, 77, 15, 71, 3, 0.5, 0.513623, -1
0, 17, 70, 87, 0, 0.5, 0.515917, 1
7, 2, 75, 73, 1, 0.5, 0.516684, -1
8, 56, 26, 81, 0, 0.5, 0.528273, -1
7, 2, 75, 73, 1, 0.5, 0.529052, -1
7, 2, 75, 73, 1, 0.5, 0.497753, -1
8, 56, 26, 81, 0, 0.5, 0.537673, -1
6, 13, 82, 78, 3, 0.5, 0.544799, 1
0, 17, 70, 87, 0, 0.5, 0.549587, -1
9, 16, 55, 14, 0, 0.5, 0.552795, -1
9, 16, 55, 14, 0, 0.5, 0.466993, -1
12, 24, 62, 65, 3, 0.5, 0.554404, -1
12, 24, 62, 65, 3, 0.5, 0.388889, -1
3, 6, 86, 65, 1, 0.5, 0.556017, -1
3, 57, 25, 45, 3, 0.5, 0.556824, -1
19, 46, 24, 78, 3, 0.5, 0.558442, -1
19, 46, 24, 78, 3, 0.5, 0.466276, 1
10, 57, 23, 86, 3, 0.5, 0.559252, -1
2, 24, 25, 60, 3, 0.5, 0.560062, 1
5, 5, 94, 36, 2, 0.5, 0.560062, -1
54, 12, 44, 30, 2, 0.5, 0.56658, 1
11, 26, 44, 87, 2, 0.5, 0.56658, -1
11, 26, 44, 87, 2, 0.5, 0.459854, -1
30, 11, 80, 36, 0, 0.5, 0.56658, -1
48, 6, 86, 48, 0, 0.5, 0.569859, -1
48, 6, 86, 48, 0, 0.5, 0.550388, 1
30, 6, 57, 63, 2, 0.5, 0.571503, -1
0, 17, 70, 87, 0, 0.5, 0.573152, -1
0, 17, 70, 87, 0, 0.5, 0.503759, -1
10, 10, 84, 81, 0, 0.5, 0.578947, -1
0, 17, 70, 87, 0, 0.5, 0.596594, -1
17, 18, 81, 77, 2, 0.5, 0.611171, 1
36, 46, 51, 62, 2, 0.5, 0.613771, 1
18, 43, 33, 78, 3, 0.5, 0.61987, -1
5, 5, 94, 36, 2, 0.5, 0.620746, 1
5, 5, 94, 36, 2, 0.5, 0.497006, -1
5, 5, 94, 36, 2, 0.5, 0.329198, 1
75, 23, 55, 19, 3, 0.5, 0.626016, -1
10, 29, 57, 51, 2, 0.5, 0.626898, 1
10, 29, 57, 51, 2, 0.5, 0.606856, -1
10, 29, 57, 51, 2, 0.5, 0.302083, -1
0, 37, 54, 75, 3, 0.5, 0.633987, 1
0, 37, 54, 75, 3, 0.5, 0.594896, -1
47, 40, 55, 24, 3, 0.5, 0.642935, 1
47, 40, 55, 24, 3, 0.5, 0.509054, -1
11, 25, 70, 27, 2, 0.5, 0.656543, 1
11, 25, 70, 27, 2, 0.5, 0.588983, -1
16, 32, 33, 29, 0, 0.5, 0.657459, -1
16, 32, 33, 29, 0, 0.5, 0.574803, 1
11, 25, 70, 27, 2, 0.5, 0.666667, -1
25, 0, 75, 53, 0, 0.5, 0.676914, -1
25, 0, 75, 53, 0, 0.5, 0.612037, -1
16, 25, 39, 79, 0, 0.5, 0.680672, 1
9, 8, 83, 43, 3, 0.5, 0.685393, -1
9, 8, 83, 43, 3, 0.5, 0.457018, 1
65, 26, 70, 30, 2, 0.5, 0.694915, 1
16, 2, 81, 72, 3, 0.5, 0.697793, -1
16, 2, 81, 72, 3, 0.5, 0.442308, -1
16, 2, 81, 72, 3, 0.5, 0.497006, 1
16, 2, 81, 72, 3, 0.5, 0.577287, -1
9, 2, 89, 19, 0, 0.5, 0.698754, -1
9, 2, 89, 19, 0, 0.5, 0.572327, -1
9, 2, 89, 19, 0, 0.5, 0.673173, 1
10, 29, 57, 51, 2, 0.5, 0.703578, -1
19, 53, 23, 61, 3, 0.5, 0.709402, -1
5, 5, 94, 36, 2, 0.5, 0.712329, 1
5, 5, 94, 36, 2, 0.5, 0.626016, 1
24, 66, 26, 71, 3, 0.5, 0.713307, -1
7, 9, 12, 43, 3, 0.5, 0.716247, -1
2, 2, 96, 86, 2, 0.5, 0.716247, 1
2, 2, 96, 86, 2, 0.5, 0.712329, 1
4, 19, 37, 86, 3, 0.5, 0.720183, -1
4, 19, 37, 86, 3, 0.5, 0.615509, -1
4, 19, 37, 86, 3, 0.5, 0.503759, -1
17, 1, 98, 38, 0, 0.5, 0.727116, 1
3, 21, 69, 43, 0, 0.5, 0.731102, -1
7, 2, 75, 73, 1, 0.5, 0.733102, -1
7, 2, 75, 73, 1, 0.5, 0.665741, -1
66, 69, 26, 15, 0, 0.5, 0.736111, -1
66, 69, 26, 15, 0, 0.5, 0.651982, 1
3, 57, 25, 45, 3, 0.5, 0.743173, 1
36, 46, 51, 62, 2, 0.5, 0.745201, 1
0, 17, 15, 99, 2, 0.5, 0.757469, 1
0, 17, 15, 99, 2, 0.5, 0.485884, 1
0, 17, 15, 99, 2, 0.5, 0.505268, 1
0, 17, 15, 99, 2, 0.5, 0.488095, 1
